BILLING_ACCT_ID_NUM,STATE_DATE,AAA_SESSION_COMPLETED_FLAG,AVG_MTBE_M1,AVG_MTBE_M2,AVG_MTBE_M3,AVG_NUM_INTERRUPT_ALARMS_M1,AVG_NUM_INTERRUPT_ALARMS_M2,AVG_NUM_INTERRUPT_ALARMS_M3,BLACKLISTED_FLAG,BOLT_ON_FLAG,NON_BOLT_ON_FLAG,CORPORATE_CUSTOMER_FLAG,NON_RESIDENTIAL_FLAG,INSTALLATION_CHARGES_FLAG,TARGET_COMPLAINT_FLAG,DAYTME_OTG_DUR_M1,DAYTME_OTG_DUR_M2,DAYTME_OTG_DUR_M3,HIGH_LOW_MRC_M1,HIGH_LOW_MRC_M2,HIGH_LOW_MRC_M3,INTL_INC_DUR_M1,INTL_INC_DUR_M2,INTL_INC_DUR_M3,M1_FAILURE_REASON_CD,M1_FAILURE_REASON_DESC,MAPPED_PON_ID,MOB_INC_DUR_M1,MOB_INC_DUR_M2,MOB_INC_DUR_M3,NGHTTME_OTG_DUR_M1,NGHTTME_OTG_DUR_M2,NGHTTME_OTG_DUR_M3,OFFNET_INC_DUR_M1,OFFNET_INC_DUR_M2,OFFNET_INC_DUR_M3,ONNET_INC_DUR_M1,ONNET_INC_DUR_M2,ONNET_INC_DUR_M3,PAIRED_PON_PROTECTION_STATUS,PON_AVG_DOWNSTREAM_BANDWIDTH,PON_AVG_UPSTREAM_BANDWIDTH,PON_MAX_DOWNSTREAM_BANDWIDTH,PON_MAX_UPSTREAM_BANDWIDTH,PON_BW_MARGIN_FACTOR,PON_IS_IN_COMPLAINT_BASE,PON_PROTECTION_STATUS,POWERLEVEL_M1_CAT,POWERLEVEL_M2_CAT,POWERLEVEL_M3_CAT,SPEED_STEEPNESS_CAT,SPEED_TREND_SLOPE_MBPS,TOTAL_USAGE_M1_CAT,TOTAL_USAGE_M2_CAT,TOTAL_USAGE_M3_CAT,VAS_DESC,WKDAY_DUR_M1,WKDAY_DUR_M2,WKDAY_DUR_M3,WKND_DUR_M1,WKND_DUR_M2,WKND_DUR_M3
3089250953,2026-08-30,1,1309.04,14244.93,12508.87,3,9,19,1,0,1,1,0,0,0,59465.9,187255.7,113551.2,H,M,M,3655.7,3496.4,421.7,0,MODEM_RESET,PON-21781,52492.2,30344.3,84441.4,47469.0,77625.8,33753.5,50132.4,18041.9,23971.8,27071.3,19926.1,8720.3,PROTECTED,256.96,63.47,370.46,72.21,1.271,1,PROTECTED,MEDIUM,MEDIUM,LOW,GRADUAL,38.117,MEDIUM,MEDIUM,HIGH,SPEED_BOOST,174252.8,497798.8,120739.0,14722.4,95968.9,100750.1
3773956047,2026-08-30,1,47074.21,28734.88,44339.24,13,30,10,0,1,0,0,0,0,0,42038.5,181380.5,27511.3,L,H,L,3134.1,1783.5,326.4,5,TIMEOUT,PON-85800,85043.1,87634.5,80264.6,137419.8,102145.0,42078.6,5664.0,33735.1,14014.8,14706.0,26901.5,59821.6,PROTECTED,533.96,12.41,652.74,17.91,0.612,0,PROTECTED,MEDIUM,HIGH,HIGH,STEEP,-44.839,MEDIUM,VERY_HIGH,MEDIUM,NONE,291494.3,185468.0,361535.5,195308.6,114756.1,109067.3
3654571517,2026-08-30,0,5504.58,9247.58,4967.48,7,20,5,0,0,1,1,0,1,0,61849.9,114705.2,112814.4,L,L,L,2137.1,2246.8,374.6,18,CONGESTION,PON-61267,99612.7,16275.0,12624.1,51489.3,76156.3,66315.9,25363.3,44685.1,17560.3,57761.6,51759.8,1813.2,PROTECTED,197.34,202.99,255.63,272.09,1.519,0,PROTECTED,HIGH,HIGH,MEDIUM,STEEP,47.333,MEDIUM,HIGH,MEDIUM,CLOUD_STORAGE,232343.2,354614.5,286951.6,1100.2,167390.1,147089.1
3438878439,2026-08-30,1,6430.25,23509.76,32457.56,27,20,21,0,0,1,0,0,0,0,40629.9,115830.6,12319.0,L,H,L,2551.6,567.4,2949.5,2,NO_FAILURE,PON-97628,10721.1,36419.5,12444.9,35501.4,141091.6,40307.3,69824.4,9622.9,38220.2,54659.2,40090.0,35840.2,UNPROTECTED,265.5,345.78,313.34,500.63,1.575,0,UNPROTECTED,MEDIUM,MEDIUM,MEDIUM,STEEP,20.382,MEDIUM,LOW,LOW,PARENTAL_CONTROL,488556.0,203885.4,348435.0,143629.9,153806.8,129897.0
3433015235,2026-08-30,0,7412.69,32575.53,39163.62,16,5,30,0,1,0,0,1,0,0,63531.0,33458.2,86177.0,M,H,M,2546.5,2837.8,4047.9,8,PPP_FAIL,PON-64419,27138.8,84866.9,41673.2,136395.2,64204.2,103799.0,46573.4,65345.6,69960.4,24284.6,45744.1,39012.7,UNPROTECTED,689.74,133.77,789.32,144.2,1.285,0,UNPROTECTED,LOW,MEDIUM,MEDIUM,FLAT,-21.57,HIGH,MEDIUM,VERY_HIGH,SPEED_BOOST,258194.7,69754.6,321979.0,48676.9,135230.1,71679.3
3858597918,2026-08-30,0,49065.7,6496.29,30768.85,3,22,24,0,0,1,0,0,0,0,16587.2,194992.5,78051.7,L,H,M,101.8,927.6,2014.8,10,PPP_FAIL,PON-68805,35759.8,19064.3,87009.5,111891.7,2387.4,72136.2,32958.0,21974.8,40002.9,26923.9,35009.6,40907.4,PARTIAL,207.9,55.62,228.99,82.1,1.691,0,PROTECTED,LOW,MEDIUM,MEDIUM,GRADUAL,-29.553,HIGH,LOW,LOW,NONE,192586.0,168463.4,353374.3,193510.4,52697.9,1146.2
3085945638,2026-08-30,1,30921.25,46536.65,24827.19,21,17,30,0,0,1,0,1,0,0,31706.0,51003.5,85562.8,L,H,H,2515.2,3394.9,2224.2,1,AUTH_FAIL,PON-90910,47891.8,82137.4,88208.5,102270.0,35456.0,33131.8,37208.2,43941.6,4431.4,22506.8,59483.9,15337.7,PARTIAL,771.82,392.98,1123.72,513.38,0.95,0,UNPROTECTED,MEDIUM,CRITICAL,MEDIUM,GRADUAL,-20.391,MEDIUM,LOW,MEDIUM,NONE,197466.8,116685.8,452773.5,76308.3,95776.1,23097.2
3697368028,2026-08-30,1,30553.47,25335.66,30905.62,1,30,18,0,0,1,1,1,0,0,83410.6,144947.2,55965.2,L,H,M,4279.9,355.8,2946.4,3,LINK_DOWN,PON-69440,49391.0,7906.9,10736.6,7430.2,75091.0,75956.1,16662.4,43970.7,3190.8,2272.0,14484.6,43294.8,PROTECTED,251.95,272.31,352.66,363.27,0.803,0,PROTECTED,MEDIUM,MEDIUM,HIGH,GRADUAL,37.573,HIGH,MEDIUM,HIGH,NONE,273970.0,164039.1,281734.7,5456.7,67087.2,194612.1
3201469535,2026-08-30,0,49336.24,40994.45,7668.02,8,14,20,0,0,1,0,0,1,0,175893.4,159159.0,137166.1,H,L,L,3546.4,4879.5,2665.2,19,CONGESTION,PON-39665,85619.5,48922.9,57429.7,19680.7,81085.8,133318.2,64950.5,48211.3,18191.3,17570.8,15737.5,12984.0,PARTIAL,28.59,341.02,30.49,496.88,1.026,0,PROTECTED,HIGH,MEDIUM,MEDIUM,FLAT,-20.861,MEDIUM,MEDIUM,MEDIUM,SECURITY_SUITE,177456.0,107510.8,33924.4,5387.2,46985.6,184466.6
3094177347,2026-08-30,1,4513.09,32729.88,10856.98,22,21,4,0,0,1,1,0,1,0,11458.1,88243.1,168188.9,H,L,M,3978.5,3422.6,3440.3,12,AUTH_FAIL,PON-57517,77055.9,7533.1,15567.5,95751.0,82857.7,118859.3,73120.4,4438.9,67421.7,7360.4,5553.5,49742.3,PARTIAL,211.37,302.09,290.29,359.6,1.115,0,PROTECTED,HIGH,MEDIUM,MEDIUM,STEEP,-3.718,HIGH,HIGH,MEDIUM,STATIC_IP,361453.3,56172.6,135412.7,110674.7,2049.1,65018.6
